sim0,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
50.5933,50.7373,50.3236,49.2849,50.1549,49.9729,50.0884,48.3835,49.3684,50.4342
49.7302,50.2293,50.2458,49.6021,49.7402,49.8382,49.2461,47.8969,49.8401,50.3553
49.3184,49.6993,50.8331,49.4382,50.5053,48.7572,49.1541,48.8008,49.6637,50.144
49.5513,50.2584,50.7142,50.196,50.5869,49.3481,49.9667,49.0921,49.0704,50.0759
48.9362,50.4818,50.2065,50.3598,51.4845,48.2762,49.6416,49.6476,50.2739,48.999
48.8981,51.298,50.2987,50.8677,51.1442,49.1365,48.554,48.8922,49.3121,50.0797
49.0126,51.6688,51.7765,50.0771,50.5468,48.9523,48.1804,49.4219,49.5226,50.3192
48.5155,51.6953,51.1635,50.3865,49.9107,48.1598,47.4248,50.0688,49.509,50.1734
47.7396,51.1377,50.9041,49.9209,48.9234,48.4543,47.2177,50.2197,50.1732,50.7755
47.8601,52.1226,50.6072,49.8183,48.9476,48.9277,47.0775,49.5972,49.0987,49.9888
48.459,52.0132,50.9057,49.8595,48.9597,48.2507,47.9618,49.1959,49.9988,50.5978
48.0772,51.4475,50.8986,50.1751,50.2629,48.6819,47.6502,48.9711,51.1881,50.2608
47.8842,51.3191,50.5837,50.2403,50.0393,49.1832,47.5259,48.5543,51.4969,49.1072
48.8773,51.1983,50.4118,49.9687,51.5442,49.1765,48.4358,49.5817,51.8158,49.7229
48.5452,52.1396,51.6402,49.9242,51.7812,47.7827,47.8063,48.9221,52.9996,48.7217
48.2422,53.7399,50.7274,49.4664,51.672,47.7573,47.2169,48.9714,52.6652,48.4974
49.7082,53.5821,50.9173,49.2568,50.685,47.2946,46.672,49.4005,52.1962,48.6026
48.7787,54.2379,50.4073,50.2461,51.024,47.9867,47.2012,49.8221,51.956,48.8126
49.2687,53.7119,50.4603,49.7032,50.3175,48.0773,46.9966,49.3856,51.9508,48.3191
48.0649,53.5518,51.5257,48.8607,50.5554,47.2531,46.6728,49.3337,52.6156,48.5199
47.7158,53.073,51.3618,47.6864,50.9049,47.2669,46.3863,49.5542,53.5568,47.9772
48.6197,53.1461,52.0146,47.5798,49.9946,46.8871,46.377,48.9979,53.6164,47.942
49.3676,53.5496,52.3509,48.202,50.3606,47.2438,47.3906,49.0413,54.7209,48.5821
48.8245,53.6807,52.4561,48.8075,50.2688,47.1525,48.1988,49.5707,55.101,47.8463
48.5561,53.4349,52.7227,49.5477,51.5593,46.7359,49.1096,50.1806,55.1962,47.6228
48.6101,53.4044,52.7627,50.2379,50.8918,46.4981,50.0324,48.9975,55.2445,47.8329
47.863,52.9276,53.3847,49.6566,49.9141,46.1868,49.3712,49.1063,54.9966,47.6539
48.1975,53.2697,53.6987,50.383,48.8305,45.8381,49.5043,49.0857,56.1616,46.9503
49.5535,53.0165,52.6754,50.1248,48.815,45.0682,49.1704,49.1096,56.5809,47.0454
48.7331,53.1765,52.3457,49.2628,50.088,45.4294,49.7137,48.3772,55.867,47.1777
47.5554,53.8143,52.7794,49.474,50.2192,45.3261,49.1522,48.704,56.1908,46.662
47.7312,53.4112,53.3228,50.6333,49.3868,46.241,49.7094,49.0312,56.0675,46.2028
47.6662,54.4054,53.148,50.6862,49.5203,46.072,49.1317,48.9146,55.5127,45.6824
48.7506,52.8806,52.9444,51.4561,49.608,46.3276,50.1195,49.5293,56.5112,45.4202
48.6593,52.4725,52.3608,51.2502,50.0822,46.0715,50.1738,48.1357,56.3433,44.878
48.6343,53.1006,52.5792,50.845,50.1205,45.8529,50.6497,48.3986,56.7018,44.9917
48.5249,52.8908,52.7994,50.4936,50.174,45.3414,49.2179,49.2931,56.486,45.5894
47.9379,52.2435,52.7342,50.1287,49.57,45.5868,49.3979,49.6445,56.3736,45.9628
48.3453,51.9124,52.1726,50.6745,49.7131,46.3896,50.3846,50.0038,56.0076,46.5882
47.5633,52.9218,52.5452,51.6987,48.8727,46.8143,50.5406,49.5488,56.396,47.1957
48.262,54.1023,52.473,51.1673,47.9292,46.3975,51.1888,49.5567,56.0075,47.1998
48.2726,53.1882,51.9151,50.9882,48.7262,45.5062,51.2191,49.9991,56.7155,46.8516
48.5807,52.7484,52.0743,50.8712,49.393,44.8277,51.2866,49.8958,56.4348,46.9866
48.2543,52.3025,52.5988,50.8041,49.5629,44.6365,50.6083,50.2319,56.376,47.4065
47.7122,53.2308,51.0562,51.2452,49.7228,44.8255,50.1826,49.7913,56.1078,46.9252
48.7952,53.0872,51.3451,51.7178,49.4477,45.1633,50.3927,49.6477,56.7454,46.5869
49.0853,53.3476,51.499,52.4873,49.3192,45.2618,49.956,50.097,56.0948,47.1494
49.8314,53.4658,51.0146,52.3754,48.7988,45.9511,50.0313,50.1799,56.5574,46.6787
49.953,53.4718,50.1261,53.3713,49.4871,46.1819,49.8486,50.4643,56.3186,46.2845
51.6036,53.2428,49.7937,53.9007,49.5987,45.7012,50.7423,49.8859,56.4483,46.2252
51.8389,53.9131,49.9898,54.134,49.4271,46.3933,49.5857,51.0081,56.648,47.341
51.1869,53.9523,49.3532,53.0151,49.4085,45.7682,48.7695,50.0101,57.6549,48.0737
51.6831,53.2384,48.5246,52.1099,48.8985,45.6663,49.5019,50.0491,58.0695,48.3352
51.9625,53.1588,49.1449,51.6959,48.6791,45.1738,49.3627,50.8561,57.3224,48.5267
50.4936,52.2998,48.7338,51.9394,49.0791,46.2489,49.8112,51.4764,57.4915,48.799
50.4269,52.3673,48.9296,52.9744,49.0959,47.2624,50.0905,50.9127,57.7173,49.5579
51.0496,52.0814,47.5871,53.4308,49.6879,47.6366,49.1813,51.154,58.1182,49.1458
51.5654,51.4792,47.9947,52.4224,50.1892,47.1648,49.0852,51.5785,58.7172,48.6572
51.3547,50.21,48.4166,51.9048,51.5906,47.9957,49.4255,52.1254,57.7451,47.9852
50.5939,51.6043,48.9474,52.6007,51.9911,47.0447,49.3133,52.0891,57.3317,48.5163
50.909,51.5343,48.5013,51.6489,52.8789,46.6736,50.5369,52.8762,56.4382,48.4399
50.1964,52.6572,47.9845,50.6664,51.5935,47.2536,50.8329,52.0266,56.3071,49.5332
51.0339,52.1073,48.0004,51.6078,51.0521,46.817,51.205,51.9806,55.6976,49.0097
